Handle,Title,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Back type (product.metafields.shopify.back-type),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Dinnerware pieces included (product.metafields.shopify.dinnerware-pieces-included),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Mount/Stand features (product.metafields.shopify.mount-stand-features),Seat type (product.metafields.shopify.seat-type),Shape (product.metafields.shopify.shape),Tableware material (product.metafields.shopify.tableware-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
shadow-fern-deep-plate,Shadow Fern Deep Plate,Serving Platters,,TRUE,Serving Size,Pack Of 4,DP4#5070,0,shopify,20,deny,manual,1580,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0910/2642/4090/files/12_b859ae70-3b7b-4508-93af-007dd68af2c4.jpg?v=1767878734,1,,FALSE,,,3553,,,,,,,,,,,,,,black; floral,,,,,,round,melamine,,,,,,kg,,,active
shadow-fern-deep-plate,,,,,,Pack Of 6,DP6#5070,0,shopify,20,deny,manual,1890,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0910/2642/4090/files/11_4173b8f9-f2d0-42ad-8a02-4eb840f19c1d.jpg?v=1767878734,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
shadow-fern-deep-plate,,,,,,Pack Of 8,DP8#5070,0,shopify,20,deny,manual,2210,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0910/2642/4090/files/DSC09818copy.jpg?v=1767878734,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
shadow-fern-deep-plate,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/2642/4090/files/3_607d4674-6518-4fbe-bcbe-3a00cfa8dbb8.jpg?v=1767878734,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shadow-fern-deep-plate,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/2642/4090/files/DSC09840copy_f51beb52-4078-4f68-9b41-85b79b50dee4.jpg?v=1767878715,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shadow-fern-quarter-plate,Shadow Fern Quarter Plate,Serving Platters,,TRUE,Serving Size,Pack Of 4,QP4#5070,0,shopify,10,deny,manual,1350,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0910/2642/4090/files/9_77c7bd93-396a-4234-83e1-533f71568802.jpg?v=1767878451,1,,FALSE,,,3553,,,,,,,,,,,,,,black,,,,,,round,melamine,,,,,,kg,,,active
shadow-fern-quarter-plate,,,,,,Pack Of 6,QP6#5070,0,shopify,10,deny,manual,1600,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0910/2642/4090/files/10_6f982c22-d8e8-4d72-b788-78ba2cace143.jpg?v=1767878451,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
shadow-fern-quarter-plate,,,,,,Pack Of 8,QP8#5070,0,shopify,10,deny,manual,1850,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0910/2642/4090/files/DSC09832copy.jpg?v=1767878451,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
shadow-fern-quarter-plate,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/2642/4090/files/2_2c7a2707-a57b-4731-992c-4f9161259d35.jpg?v=1767878451,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shadow-fern-quarter-plate,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0910/2642/4090/files/DSC09840copy_63237829-3862-44e2-8e8c-3d11ad74a5fe.jpg?v=1767878436,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
